tree,day,female,male
204,559,3.0,0.0
204,572,1.0,0.0
204,586,1.0,0.0
204,803,1.0,3.0
204,818,3.0,0.0
204,831,2.0,0.0
204,846,1.0,0.0
204,860,2.0,0.0
204,871,1.0,0.0
204,887,1.0,0.0
204,902,0.0,1.0
204,916,2.0,0.0
204,945,0.0,2.0
204,959,0.0,1.0
204,986,0.0,1.0
204,1000,0.0,1.0
204,1013,0.0,1.0
204,1027,0.0,1.0
204,1056,0.0,2.0
204,1098,0.0,2.0
204,1112,1.0,0.0
204,1126,2.0,0.0
204,1141,1.0,0.0
204,1154,1.0,0.0
204,1169,2.0,0.0
204,1200,1.0,0.0
204,1211,2.0,0.0
204,1223,0.0,1.0
204,1252,0.0,2.0
204,1280,0.0,2.0
204,1294,0.0,1.0
204,1309,0.0,1.0
204,1322,0.0,1.0
204,1351,0.0,1.0
204,1365,0.0,1.0
204,1378,1.0,0.0
204,1448,1.0,0.0
204,1461,2.0,0.0
204,1476,2.0,0.0
204,1489,1.0,0.0
204,1503,1.0,0.0
204,1517,2.0,0.0
204,1531,2.0,0.0
204,1546,1.0,0.0
204,1560,1.0,0.0
204,1574,2.0,0.0
204,1590,1.0,0.0
204,1602,1.0,0.0
204,1615,1.0,0.0
204,1644,1.0,0.0
204,1673,1.0,0.0
204,1700,1.0,0.0
204,1897,4.0,0.0
204,1910,2.0,0.0
204,1924,1.0,0.0
204,1945,3.0,0.0
204,1959,1.0,0.0
204,1973,1.0,0.0
204,1987,0.0,1.0
204,2001,0.0,2.0
204,2016,1.0,0.0
204,2029,1.0,0.0
204,2056,0.0,1.0
204,2281,2.0,0.0
204,2297,2.0,0.0
204,2309,1.0,0.0
204,2323,2.0,0.0
204,2337,1.0,0.0
204,2352,1.0,0.0
204,2366,1.0,0.0
204,2380,0.0,1.0
204,2393,0.0,1.0
204,2406,0.0,1.0
204,2418,0.0,1.0
204,2435,0.0,1.0
204,2449,0.0,1.0
204,2464,0.0,1.0
204,2490,0.0,1.0
204,2505,0.0,1.0
204,2603,0.0,2.0
204,2618,2.0,0.0
204,2630,1.0,1.0
204,2642,2.0,0.0
204,2662,1.0,0.0
204,2675,1.0,0.0
204,2687,1.0,0.0
204,2701,1.0,0.0
204,2716,1.0,0.0
204,2729,0.0,1.0
204,2744,0.0,1.0
204,2757,0.0,1.0
204,2771,0.0,1.0
204,2786,0.0,1.0
204,2799,0.0,1.0
204,2827,0.0,1.0
204,2842,0.0,1.0
204,2856,0.0,2.0
204,2940,0.0,1.0
204,2954,0.0,1.0
204,2967,1.0,1.0
204,2981,1.0,0.0
204,2992,1.0,0.0
204,3008,2.0,0.0
204,3023,1.0,0.0
204,3038,2.0,0.0
204,3051,0.0,1.0
204,3061,0.0,1.0
204,3079,0.0,1.0
204,3093,0.0,1.0
204,3121,0.0,1.0
204,3134,0.0,2.0
204,3149,0.0,1.0
204,3164,0.0,1.0
204,3191,0.0,1.0
204,3206,0.0,1.0
204,3289,0.0,1.0
204,3303,0.0,1.0
205,348,2.0,0.0
205,364,1.0,0.0
205,377,2.0,0.0
205,392,1.0,0.0
205,404,1.0,0.0
205,420,1.0,0.0
205,432,1.0,0.0
205,441,1.0,0.0
205,455,1.0,0.0
205,474,1.0,0.0
205,489,1.0,0.0
205,514,0.0,1.0
205,531,1.0,0.0
205,560,0.0,1.0
205,763,1.0,0.0
205,776,2.0,1.0
205,790,0.0,1.0
205,803,2.0,0.0
205,818,1.0,0.0
205,831,2.0,0.0
205,846,1.0,0.0
205,860,2.0,0.0
205,871,1.0,0.0
205,887,2.0,0.0
205,902,1.0,0.0
205,916,0.0,1.0
205,927,0.0,1.0
205,945,0.0,1.0
205,973,1.0,0.0
205,1000,1.0,0.0
205,1013,1.0,0.0
205,1042,0.0,1.0
205,1098,1.0,0.0
205,1112,2.0,1.0
205,1126,2.0,0.0
205,1141,1.0,0.0
205,1154,2.0,0.0
205,1169,2.0,0.0
205,1183,1.0,0.0
205,1200,1.0,0.0
205,1211,1.0,0.0
205,1223,0.0,1.0
205,1252,1.0,1.0
205,1280,0.0,2.0
205,1294,0.0,1.0
205,1322,0.0,1.0
205,1448,1.0,0.0
205,1476,3.0,0.0
205,1489,3.0,0.0
205,1503,2.0,0.0
205,1517,1.0,0.0
205,1531,1.0,0.0
205,1546,2.0,0.0
205,1560,2.0,0.0
205,1574,1.0,0.0
205,1590,2.0,0.0
205,1602,0.0,1.0
205,1629,0.0,1.0
205,1658,0.0,1.0
205,1840,0.0,2.0
205,1854,1.0,1.0
205,1868,1.0,0.0
205,1883,2.0,0.0
205,1897,2.0,0.0
205,1910,1.0,0.0
205,1924,2.0,0.0
205,1945,1.0,0.0
205,1959,2.0,0.0
205,1973,0.0,1.0
205,1987,0.0,1.0
205,2001,0.0,1.0
205,2029,1.0,0.0
205,2056,0.0,1.0
205,2239,2.0,0.0
205,2254,1.0,0.0
205,2266,2.0,0.0
205,2281,1.0,0.0
205,2297,2.0,0.0
205,2323,1.0,0.0
205,2337,2.0,0.0
205,2352,1.0,0.0
205,2366,1.0,1.0
205,2393,0.0,1.0
205,2406,0.0,1.0
205,2435,0.0,1.0
205,2603,0.0,1.0
205,2618,2.0,0.0
205,2630,2.0,0.0
205,2642,2.0,0.0
205,2662,2.0,0.0
205,2675,2.0,0.0
205,2687,1.0,0.0
205,2701,1.0,0.0
205,2716,1.0,0.0
205,2729,0.0,1.0
205,2744,0.0,1.0
205,2757,0.0,1.0
205,2771,0.0,1.0
205,2954,0.0,1.0
205,2967,0.0,3.0
205,2981,2.0,0.0
205,2992,2.0,0.0
205,3008,1.0,0.0
205,3023,1.0,0.0
205,3038,1.0,0.0
205,3051,1.0,0.0
205,3066,1.0,0.0
205,3079,0.0,1.0
205,3093,0.0,1.0
205,3107,0.0,1.0
205,3121,0.0,2.0
205,3191,0.0,1.0
205,3206,0.0,1.0
206,332,1.0,0.0
206,346,1.0,0.0
206,348,1.0,0.0
206,364,1.0,0.0
206,377,1.0,0.0
206,391,1.0,0.0
206,405,4.0,0.0
206,434,3.0,0.0
206,448,1.0,0.0
206,463,2.0,0.0
206,476,2.0,0.0
206,489,1.0,0.0
206,503,1.0,0.0
206,514,1.0,0.0
206,531,2.0,0.0
206,545,2.0,0.0
206,703,1.0,0.0
206,763,1.0,0.0
206,776,2.0,0.0
206,790,2.0,0.0
206,803,2.0,0.0
206,818,1.0,0.0
206,831,2.0,0.0
206,846,2.0,0.0
206,859,1.0,1.0
206,871,0.0,1.0
206,888,2.0,0.0
206,916,0.0,2.0
206,945,0.0,2.0
206,959,0.0,1.0
206,973,0.0,1.0
206,986,0.0,1.0
206,1000,0.0,1.0
206,1027,2.0,0.0
206,1042,1.0,0.0
206,1071,1.0,0.0
206,1085,1.0,0.0
206,1098,2.0,0.0
206,1112,1.0,0.0
206,1126,1.0,0.0
206,1141,1.0,0.0
206,1154,1.0,0.0
206,1169,1.0,1.0
206,1183,0.0,2.0
206,1200,0.0,1.0
206,1212,0.0,1.0
206,1224,0.0,1.0
206,1240,0.0,1.0
206,1252,0.0,1.0
206,1267,0.0,1.0
206,1294,1.0,0.0
206,1309,1.0,0.0
206,1351,1.0,0.0
206,1407,3.0,0.0
206,1420,2.0,0.0
206,1448,3.0,0.0
206,1461,2.0,0.0
206,1476,1.0,0.0
206,1489,1.0,0.0
206,1517,1.0,1.0
206,1531,0.0,1.0
206,1546,0.0,1.0
206,1560,0.0,1.0
206,1574,0.0,1.0
206,1590,0.0,1.0
206,1602,0.0,1.0
206,1615,0.0,1.0
206,1629,0.0,1.0
206,1644,0.0,1.0
206,1673,1.0,0.0
206,1714,1.0,0.0
206,1743,1.0,0.0
206,1756,1.0,0.0
206,1770,2.0,0.0
206,1785,1.0,0.0
206,1798,1.0,0.0
206,1812,1.0,0.0
206,1827,1.0,0.0
206,1840,1.0,0.0
206,1854,0.0,1.0
206,1868,0.0,1.0
206,1883,0.0,1.0
206,1897,0.0,2.0
206,1910,0.0,1.0
206,1924,0.0,1.0
206,1945,0.0,2.0
206,1973,0.0,2.0
206,2042,1.0,0.0
206,2056,1.0,2.0
206,2099,2.0,0.0
206,2113,1.0,0.0
206,2126,1.0,0.0
206,2141,1.0,0.0
206,2156,1.0,0.0
206,2169,1.0,0.0
206,2198,1.0,0.0
206,2239,1.0,0.0
206,2254,2.0,0.0
206,2266,0.0,1.0
206,2281,1.0,0.0
206,2309,0.0,2.0
206,2337,0.0,1.0
206,2352,0.0,1.0
206,2367,0.0,2.0
206,2380,1.0,1.0
206,2393,1.0,0.0
206,2418,1.0,0.0
206,2435,1.0,0.0
206,2449,1.0,0.0
206,2464,1.0,0.0
206,2473,1.0,0.0
206,2490,1.0,0.0
206,2505,1.0,0.0
206,2519,1.0,0.0
206,2533,1.0,0.0
206,2546,1.0,0.0
206,2574,0.0,1.0
206,2589,1.0,0.0
206,2603,1.0,0.0
206,2618,1.0,0.0
206,2630,1.0,0.0
206,2642,1.0,0.0
206,2771,1.0,0.0
206,2786,1.0,0.0
206,2799,0.0,3.0
206,2812,0.0,1.0
206,2827,0.0,2.0
206,2842,0.0,1.0
206,2856,0.0,2.0
206,2869,0.0,1.0
206,2883,0.0,1.0
206,2897,1.0,0.0
206,2910,1.0,0.0
206,2925,1.0,0.0
206,2940,0.0,1.0
206,2954,0.0,1.0
206,2967,0.0,1.0
206,2981,2.0,0.0
206,2992,1.0,0.0
206,3008,1.0,0.0
206,3023,1.0,0.0
206,3038,1.0,0.0
206,3066,1.0,0.0
206,3079,0.0,1.0
206,3093,0.0,1.0
206,3121,0.0,1.0
206,3134,1.0,1.0
206,3149,1.0,0.0
206,3164,1.0,0.0
206,3178,1.0,0.0
206,3206,1.0,0.0
207,332,1.0,0.0
207,346,1.0,0.0
207,364,2.0,0.0
207,377,1.0,0.0
207,405,2.0,0.0
207,420,3.0,0.0
207,434,2.0,0.0
207,448,1.0,0.0
207,463,2.0,0.0
207,476,1.0,0.0
207,489,1.0,0.0
207,503,1.0,0.0
207,514,1.0,0.0
207,531,1.0,0.0
207,545,1.0,0.0
207,560,2.0,0.0
207,748,1.0,0.0
207,763,1.0,0.0
207,776,1.0,0.0
207,790,1.0,0.0
207,803,1.0,1.0
207,818,2.0,0.0
207,831,2.0,0.0
207,846,1.0,0.0
207,859,2.0,0.0
207,871,1.0,0.0
207,888,2.0,0.0
207,902,1.0,0.0
207,916,1.0,0.0
207,930,1.0,0.0
207,945,1.0,0.0
207,959,1.0,0.0
207,973,0.0,1.0
207,986,0.0,1.0
207,1000,0.0,1.0
207,1013,0.0,1.0
207,1042,0.0,1.0
207,1056,0.0,1.0
207,1071,0.0,1.0
207,1085,0.0,1.0
207,1098,1.0,0.0
207,1112,1.0,0.0
207,1126,1.0,0.0
207,1141,1.0,0.0
207,1154,1.0,0.0
207,1169,2.0,0.0
207,1200,2.0,0.0
207,1212,1.0,0.0
207,1224,0.0,1.0
207,1240,0.0,2.0
207,1252,0.0,1.0
207,1280,0.0,1.0
207,1294,0.0,1.0
207,1309,0.0,1.0
207,1322,0.0,1.0
207,1336,0.0,1.0
207,1378,2.0,0.0
207,1407,2.0,0.0
207,1420,1.0,0.0
207,1433,1.0,0.0
207,1448,1.0,0.0
207,1461,1.0,0.0
207,1476,1.0,0.0
207,1489,1.0,0.0
207,1503,1.0,0.0
207,1517,2.0,0.0
207,1531,1.0,0.0
207,1546,1.0,0.0
207,1560,1.0,0.0
207,1574,1.0,0.0
207,1590,1.0,0.0
207,1602,2.0,0.0
207,1615,1.0,0.0
207,1644,1.0,0.0
207,1673,1.0,0.0
207,1700,1.0,0.0
207,1728,2.0,0.0
207,1756,1.0,0.0
207,1827,2.0,0.0
207,1840,1.0,0.0
207,1854,1.0,0.0
207,1868,2.0,0.0
207,1883,1.0,0.0
207,1897,1.0,0.0
207,1910,2.0,0.0
207,1924,1.0,0.0
207,1945,2.0,0.0
207,1959,1.0,0.0
207,1973,0.0,1.0
207,1987,0.0,1.0
207,2001,1.0,0.0
207,2016,1.0,0.0
207,2042,1.0,0.0
207,2085,1.0,0.0
207,2239,2.0,0.0
207,2254,2.0,0.0
207,2266,1.0,0.0
207,2281,1.0,0.0
207,2297,1.0,0.0
207,2309,1.0,0.0
207,2323,2.0,0.0
207,2337,1.0,1.0
207,2367,0.0,2.0
207,2380,0.0,1.0
207,2393,0.0,1.0
207,2406,0.0,1.0
207,2435,0.0,1.0
207,2449,0.0,1.0
207,2464,0.0,1.0
207,2490,0.0,1.0
207,2519,0.0,1.0
207,2533,1.0,0.0
207,2546,1.0,0.0
207,2561,1.0,0.0
207,2574,1.0,0.0
207,2589,1.0,0.0
207,2603,1.0,0.0
207,2618,1.0,0.0
207,2630,1.0,0.0
207,2642,1.0,0.0
207,2662,2.0,0.0
207,2687,2.0,0.0
207,2701,1.0,0.0
207,2716,1.0,1.0
207,2744,0.0,1.0
207,2757,0.0,1.0
207,2771,0.0,1.0
207,2799,0.0,1.0
207,2827,1.0,0.0
207,2856,1.0,0.0
207,2883,1.0,0.0
207,2897,1.0,0.0
